id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,imdb_popularity,YearGroup
ts32835,Hunter x Hunter,SHOW,2011,TV-14,23,"['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']",['JP'],3,tt2098220,9,87857,117.924,2010
tm32982,Les Misérables,MOVIE,2012,PG-13,157,"['drama', 'romance', 'history', 'war']","['GB', 'US']",0,tt1707386,7.5,325132,18,2010
ts17598,Arrow,SHOW,2012,TV-14,42,"['action', 'crime', 'drama', 'scifi']",['US'],8,tt2193021,7.5,425716,125.061,2010
tm161802,The Girl with the Dragon Tattoo,MOVIE,2011,R,158,"['crime', 'thriller', 'drama']","['NO', 'SE', 'US']",0,tt1568346,7.8,454917,23.091,2010
tm158304,Contagion,MOVIE,2011,PG-13,106,"['thriller', 'scifi', 'action', 'drama']","['US', 'AE']",0,tt1598778,6.8,300074,26.205,2010
tm72140,Battleship,MOVIE,2012,PG-13,131,"['scifi', 'thriller', 'action', 'documentation']",['US'],0,tt1440129,5.8,246008,44.046,2010
tm37153,Killing Them Softly,MOVIE,2012,R,104,"['crime', 'thriller', 'drama']",['US'],0,tt1767297,6.2,141289,15.681,2010
tm160433,Just Go with It,MOVIE,2011,PG-13,117,"['romance', 'comedy']",['US'],0,tt1564367,6.4,239367,89.01,2010
tm39896,Dark Shadows,MOVIE,2012,PG-13,113,"['comedy', 'fantasy', 'horror']",['US'],0,tt1077368,6.2,262998,53.366,2010
tm178201,Sherlock Holmes: A Game of Shadows,MOVIE,2011,PG-13,129,"['crime', 'thriller', 'action']","['US', 'GB']",0,tt1515091,7.4,446531,47.884,2010
tm59428,Silver Linings Playbook,MOVIE,2012,R,122,"['drama', 'romance', 'comedy']",['US'],0,tt1045658,7.7,697481,26.254,2010
ts20457,The Legend of Korra,SHOW,2012,TV-Y7,23,"['action', 'scifi', 'comedy', 'drama', 'family', 'fantasy', 'animation']",['US'],4,tt1695360,8.4,117464,63.789,2010
ts20429,Sword Art Online,SHOW,2012,TV-MA,23,"['scifi', 'action', 'animation', 'drama', 'western', 'comedy', 'fantasy', 'romance', 'thriller']",['JP'],4,tt2250192,7.6,43727,73.783,2010
tm176356,Sucker Punch,MOVIE,2011,PG-13,110,"['fantasy', 'thriller', 'action']","['US', 'CA']",0,tt0978764,6,241111,73.193,2010
ts6506,The Borgias,SHOW,2011,TV-MA,51,"['drama', 'history', 'romance', 'crime']","['CA', 'HU', 'US']",3,tt1582457,7.9,50556,23.185,2010
ts20458,Ninjago: Masters of Spinjitzu,SHOW,2012,TV-Y7,17,"['scifi', 'comedy', 'family', 'fantasy', 'animation', 'action', 'european']","['DK', 'US']",15,tt1871731,7.2,4519,60.536,2010
tm74848,Total Recall,MOVIE,2012,PG-13,120,"['thriller', 'scifi', 'crime', 'action']","['CA', 'US']",0,tt1386703,6.2,252051,76.648,2010
ts34087,Puella Magi Madoka Magica,SHOW,2011,TV-14,24,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']",['JP'],1,tt1773185,8.3,9055,17.086,2010
tm68272,Project X,MOVIE,2012,R,88,['comedy'],['US'],0,tt1636826,6.6,204959,168.423,2010
